FatalityId,Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities
Fatality9586,20215040,WA,6,1990,Thursday,19:00:00.000000000,Multiple,No,No,No,60,Pedestrian,Male,90,Major Cities of Australia,Perth - South East,Victoria Park,National or State Highway,No,No,75_or_older,Weekday,Night,1
Fatality9587,20221057,NSW,8,1990,Monday,13:10:00.000000000,Single,No,No,No,100,Driver,Female,46,Outer Regional Australia,Far West and Orana,Warrumbungle,Arterial Road,No,No,40_to_64,Weekday,Day,1
Fatality9588,20145162,WA,2,1994,Saturday,12:00:00.000000000,Multiple,No,No,No,50,Motorcycle rider,Male,40,Major Cities of Australia,Mandurah,Mandurah,Local Road,No,No,40_to_64,Weekend,Day,1
Fatality9589,20211059,NSW,7,1990,Sunday,02:20:00.000000000,Single,No,No,No,100,Passenger,Male,22,Outer Regional Australia,Riverina,Lockhart,Arterial Road,No,No,17_to_25,Weekend,Night,2
Fatality9590,20171162,NSW,1,1992,Saturday,03:30:00.000000000,Multiple,No,No,Yes,110,Passenger,Male,9,Outer Regional Australia,Far West and Orana,Dubbo Regional,National or State Highway,No,No,0_to_16,Weekend,Night,2
Fatality9591,20171259,NSW,12,1993,Saturday,13:15:00.000000000,Single,No,No,No,100,Driver,Female,27,Outer Regional Australia,New England and North West,Narrabri,National or State Highway,No,No,26_to_39,Weekend,Day,1
Fatality9592,20145097,WA,5,1994,Tuesday,10:30:00.000000000,Single,No,No,No,110,Passenger,Male,48,Outer Regional Australia,Western Australia - Wheat Belt,Broomehill-Tambellup,Arterial Road,No,No,40_to_64,Weekday,Day,1
Fatality9593,20231012,NSW,6,1989,Saturday,15:30:00.000000000,Single,No,No,No,100,Driver,Male,57,Remote Australia,Central West,Lachlan,Arterial Road,No,No,40_to_64,Weekend,Day,1
Fatality9594,20184028,SA,12,1992,Monday,20:30:00.000000000,Single,No,No,No,100,Driver,Male,49,Inner Regional Australia,South Australia - South East,Yankalilla,Arterial Road,No,No,40_to_64,Weekday,Night,1
Fatality9595,20161162,NSW,7,1993,Thursday,11:25:00.000000000,Single,No,No,No,100,Motorcycle rider,Male,67,Outer Regional Australia,Central West,Mid-Western Regional,Arterial Road,No,No,65_to_74,Weekday,Day,1
Fatality9596,20231086,NSW,6,1989,Saturday,00:50:00.000000000,Single,No,No,No,100,Driver,Male,57,Outer Regional Australia,Mid North Coast,Nambucca Valley,Arterial Road,No,No,40_to_64,Weekend,Night,1
Fatality9597,20242104,Vic,9,1989,Sunday,13:39:00.000000000,Single,No,No,No,80,Motorcycle rider,Male,58,Outer Regional Australia,Hume,Mansfield,Local Road,No,No,40_to_64,Weekend,Day,1
