TimeID,Time of day,Time
Time705,Day,07:09:00.000000000
Time706,Day,08:31:00.000000000
Time707,Night,22:04:00.000000000
Time708,Night,19:16:00.000000000
Time709,Day,08:23:00.000000000
Time710,Day,10:52:00.000000000
Time711,Day,12:06:00.000000000
Time712,Night,03:02:00.000000000
Time713,Night,19:27:00.000000000
Time714,Night,21:51:00.000000000
Time715,Night,23:21:00.000000000
Time716,Night,04:17:00.000000000
Time717,Night,12:53:00.000000000
Time718,Night,18:01:00.000000000
Time719,Day,14:46:00.000000000
Time720,Day,14:34:00.000000000
Time721,Day,07:17:00.000000000
Time722,Night,21:35:00.000000000
Time723,Night,02:33:00.000000000
Time724,Night,03:40:00.000000000
Time725,Day,14:55:00.000000000
Time726,Night,10:29:00.000000000
Time727,Night,05:55:00.000000000
Time728,Night,11:15:00.000000000
Time729,Night,23:08:00.000000000
Time730,Night,02:22:00.000000000
Time731,Night,18:46:00.000000000
Time732,Day,08:16:00.000000000
Time733,Night,12:03:00.000000000
Time734,Day,10:26:00.000000000
Time735,Day,14:26:00.000000000
Time736,Night,23:45:00.000000000
Time737,Day,10:06:00.000000000
Time738,Night,03:01:00.000000000
Time739,Day,10:05:00.000000000
Time740,Night,20:12:00.000000000
Time741,Night,21:59:00.000000000
Time742,Day,08:42:00.000000000
Time743,Day,10:28:00.000000000
Time744,Night,02:03:00.000000000
Time745,Day,12:24:00.000000000
Time746,Day,13:33:00.000000000
Time747,Day,12:36:00.000000000
Time748,Day,15:54:00.000000000
Time749,Night,01:09:00.000000000
Time750,Day,08:27:00.000000000
Time751,Night,19:02:00.000000000
Time752,Night,23:20:00.000000000
Time753,Day,14:16:00.000000000
Time754,Night,21:56:00.000000000
Time755,Day,08:43:00.000000000
Time756,Night,01:45:00.000000000
Time757,Night,11:52:00.000000000
Time758,Day,10:59:00.000000000
Time759,Day,13:39:00.000000000
Time760,Night,01:07:00.000000000
Time761,Night,03:07:00.000000000
Time762,Day,07:21:00.000000000
Time763,Day,13:19:00.000000000
Time764,Night,16:15:00.000000000
Time765,Night,12:55:00.000000000
Time766,Day,12:38:00.000000000
Time767,Night,04:31:00.000000000
Time768,Night,01:32:00.000000000
Time769,Day,15:08:00.000000000
Time770,Night,20:49:00.000000000
Time771,Night,07:15:00.000000000
Time772,Night,05:15:00.000000000
Time773,Night,01:36:00.000000000
Time774,Day,06:02:00.000000000
Time775,Night,04:27:00.000000000
Time776,Day,14:11:00.000000000
Time777,Day,22:10:00.000000000
Time778,Night,02:15:00.000000000
Time779,Day,13:38:00.000000000
Time780,Night,01:12:00.000000000
Time781,Night,23:52:00.000000000
Time782,Day,17:41:00.000000000
Time783,Night,20:02:00.000000000
Time784,Night,21:14:00.000000000
Time785,Day,14:40:00.000000000
Time786,Night,21:07:00.000000000
Time787,Night,19:32:00.000000000
Time788,Day,11:23:00.000000000
Time789,Day,09:24:00.000000000
Time790,Night,23:28:00.000000000
Time791,Day,08:48:00.000000000
Time792,Day,17:00:00.000000000
Time793,Night,21:20:00.000000000
Time794,Night,13:56:00.000000000
Time795,Night,18:26:00.000000000
Time796,Night,00:31:00.000000000
Time797,Day,12:10:00.000000000
Time798,Night,03:57:00.000000000
Time799,Night,05:04:00.000000000
Time800,Day,09:02:00.000000000
Time801,Night,21:37:00.000000000
Time802,Day,07:42:00.000000000
Time803,Night,23:49:00.000000000
Time804,Day,09:50:00.000000000
Time805,Day,13:09:00.000000000
Time806,Night,07:14:00.000000000
Time807,Night,22:20:00.000000000
Time808,Night,18:19:00.000000000
Time809,Day,10:36:00.000000000
Time810,Day,06:35:00.000000000
Time811,Night,04:10:00.000000000
Time812,Night,22:15:00.000000000
Time813,Night,21:47:00.000000000
Time814,Day,14:06:00.000000000
Time815,Day,14:38:00.000000000
Time816,Night,22:27:00.000000000
Time817,Night,04:04:00.000000000
Time818,Day,13:22:00.000000000
